Time [HH:MM:SS],H [deg],V [deg],D [mm]
17:07:49.985943300,46.9298732489443,89.6973048781626,20072.2191613665
17:07:49.995943099,46.9276972874386,89.6990777307987,20069.3152820312
17:07:50.005943599,46.9275361475554,89.7014840823507,20069.8173282449
17:07:50.015943300,46.931220306764,89.7013474453757,20071.524383093
17:07:50.025943099,46.928917543099,89.7012682269722,20068.2868225532
17:07:50.035943000,46.9277479909906,89.7038216559237,20069.919672635
17:07:50.045943499,46.9266921476595,89.7007480444892,20073.3234851266
17:07:50.055943300,46.9271047175271,89.7018304328504,20072.3631272634
17:07:50.065943000,46.9284474917496,89.6986193614502,20069.3221596634
17:07:50.075943499,46.9289378744594,89.7001909811818,20070.6072067115
17:07:50.085943199,46.9286879467906,89.6980461267309,20071.3053087749
17:07:50.095943199,46.9293855653825,89.701697013715,20068.7426178566
17:07:50.105943000,46.9275628182649,89.7006969377152,20068.0764959217
17:07:50.115943499,46.930578250348,89.7009594419759,20068.3480054995
17:07:50.125943199,46.9273384348623,89.7010717262113,20068.262881458
17:07:50.135943000,46.9281689342775,89.6991055809118,20070.2249105806
17:07:50.145943700,46.9274765628663,89.6979429320618,20067.8065252684
17:07:50.155943400,46.9283613467433,89.700928233471,20068.3566776794
17:07:50.165943199,46.9275454376791,89.7007424609083,20071.3871405801
17:07:50.175942900,46.9284209380932,89.7023214505341,20065.9278398136
17:07:50.185943400,46.9279954258901,89.6976961600915,20066.411551463
17:07:50.195943099,46.9304279742755,89.7002981674583,20061.0537269451
17:07:50.205943099,46.9269230079502,89.6999373187522,20067.2728558703
17:07:50.215943599,46.9248671121307,89.7000200992546,20068.5680141634
17:07:50.225943300,46.9277705570442,89.7001821982196,20068.1451799053
17:07:50.235943099,46.9280343309146,89.7008320001984,20067.4467971368
17:07:50.245942800,46.928747303712,89.698822288139,20069.1848678313
17:07:50.255943599,46.9291662822019,89.6959200654215,20072.4786152773
17:07:50.265943300,46.926618091772,89.6994285316401,20070.6994175153
17:07:50.275943099,46.931061205988,89.7004545440578,20069.3245396641
17:07:50.285943499,46.9294767323071,89.6977989952049,20070.5040278609
17:07:50.295943300,46.9271393196809,89.7028038154453,20067.4072561512
17:07:50.305943300,46.9272324176899,89.6988907754736,20070.3708984119
17:07:50.315943000,46.9274675404983,89.7018117982814,20069.3911833766
17:07:50.325943499,46.9294798938854,89.7005498576819,20064.7329029522
17:07:50.335943199,46.9259992457489,89.6963380339006,20072.0730757815
17:07:50.345943000,46.9275785249986,89.699099112089,20068.5505951777
17:07:50.355943499,46.9279266051135,89.697501176828,20073.5682781959
17:07:50.365943499,46.9260577403445,89.6993801914756,20068.1487141342
17:07:50.375943199,46.9287616505953,89.6985671907008,20067.4755211857
17:07:50.385943000,46.9300199164407,89.7001418904285,20068.8768662778
17:07:50.395943400,46.9288917492565,89.699450522831,20069.5479548037
17:07:50.405943199,46.9283390379595,89.7011176489406,20074.3336177614
17:07:50.415943199,46.9304636240604,89.7008158936929,20072.1414145952
17:07:50.425943599,46.9267988563774,89.6972177518184,20072.1858274844
17:07:50.435943400,46.9287388138649,89.6989123607952,20066.1667524388
17:07:50.445943099,46.9302577664449,89.6980693140522,20068.4345312202
17:07:50.455942900,46.9287575436255,89.7008021928404,20068.8041679133
17:07:50.465943400,46.9295195697569,89.7010506261063,20073.0593272649
17:07:50.475943300,46.9269159417291,89.7001527966677,20071.2119221529
17:07:50.485943099,46.9271004983099,89.6977197559267,20067.9819566278
17:07:50.495943599,46.9281616470586,89.6975021497944,20070.2042484215
17:07:50.505943300,46.9268513826769,89.6979040004092,20070.5173680728
17:07:50.515943099,46.92773640921,89.6968966734496,20066.6569420391
17:07:50.525943099,46.9293774617959,89.6988471851492,20072.0737877943
17:07:50.535943499,46.9300700769035,89.6982429832666,20068.5805539968
17:07:50.545943300,46.9276411015574,89.6990601659251,20074.2343335499
17:07:50.555943000,46.9274742588988,89.70280892206,20067.7491600507
17:07:50.565943499,46.9290169401956,89.6971300096152,20069.9202643936
17:07:50.575943199,46.9298467263011,89.6984802306219,20064.7248691544
17:07:50.585943199,46.9285624019865,89.6993962468226,20069.591429517
17:07:50.595943000,46.9271195642148,89.6972405999604,20068.8244993141
17:07:50.605943499,46.9291515375,89.697926202339,20062.4190234925
17:07:50.615943199,46.9271982692195,89.7003602069174,20069.6025540443
17:07:50.625943000,46.9293088379995,89.6995336337032,20071.6952140968
17:07:50.635943400,46.9301867078533,89.6983446870483,20067.4560592996
17:07:50.645943400,46.9273642462167,89.6989784098107,20074.3874166036
17:07:50.655943199,46.9277774632027,89.6987023887343,20062.5685455562
17:07:50.665942900,46.9281074214378,89.6987401381271,20076.1382027848
17:07:50.675943400,46.9297116185851,89.6974457389097,20069.8315810873
17:07:50.685943099,46.9267158663911,89.6994061246809,20072.4660445918
17:07:50.695943099,46.9313381980929,89.6978271834684,20066.7308666399
17:07:50.705943599,46.9274436078609,89.6975919937232,20071.1816983846
