Time [HH:MM:SS],H [deg],V [deg],D [mm]
16:31:47.855276699,46.3765075555914,89.5462111342174,19877.6957238261
16:31:47.865277199,46.3756753375483,89.5468046728518,19876.2784534103
16:31:47.875276900,46.3753923485756,89.5456731706438,19868.6909469376
16:31:47.885276699,46.3763788066711,89.5495021653621,19874.3585003972
16:31:47.895277099,46.3770850193741,89.5443639690359,19875.3339539194
16:31:47.905277099,46.374736406411,89.5449264543374,19873.6104563654
16:31:47.915276900,46.377188622001,89.5446405376788,19875.7581934839
16:31:47.925276600,46.374181468985,89.5453233512007,19875.7567520832
16:31:47.935277099,46.3750059075742,89.5431525559399,19873.8940816966
16:31:47.945277099,46.3759777554009,89.5449005462603,19871.0283161087
16:31:47.955276900,46.3758737473072,89.5465559961269,19873.3787822896
16:31:47.965277099,46.3767630596799,89.5431229437557,19875.0279265649
16:31:47.975277099,46.3751627851696,89.544972795739,19872.3274109107
16:31:47.985276799,46.3755772800519,89.5457588233606,19877.437651043
16:31:47.995276600,46.3761477275785,89.546280551824,19869.9133528034
16:31:48.005277000,46.3761502280481,89.5475804239197,19880.5736093662
16:31:48.015277000,46.3778498823366,89.5461189105394,19874.8079290582
16:31:48.025276799,46.3733148967033,89.546146382076,19872.6079178003
16:31:48.035277300,46.3760975387792,89.5448113947423,19873.4506901796
16:31:48.045277000,46.3767674498776,89.5451161268564,19876.5211140139
16:31:48.055277000,46.3756872964209,89.544747394593,19877.0806436824
16:31:48.065276699,46.3777638091632,89.5458305219311,19873.4884036099
16:31:48.075277000,46.3744825650235,89.5456625862127,19871.781266903
16:31:48.085277000,46.3762870672396,89.5458658760041,19872.5200896494
16:31:48.095276699,46.3775554313932,89.5445252556371,19869.4957797472
16:31:48.105277199,46.3727919524123,89.5467480065141,19877.0080763585
16:31:48.115277199,46.3755981525206,89.5447606750051,19877.2255428392
16:31:48.125276900,46.3747388599678,89.545187670821,19875.8468256259
16:31:48.135276699,46.3772891256138,89.5448395518741,19876.9163935615
16:31:48.145277099,46.3750816180777,89.5468707560174,19875.2462358757
16:31:48.155276900,46.3766778199679,89.5482021206883,19872.976607094
16:31:48.165276900,46.3772863735025,89.5450667397981,19878.0992026536
16:31:48.175277099,46.3748603646638,89.5464656660398,19875.4518638109
16:31:48.185277099,46.3769591512029,89.5463467133076,19869.3303890982
16:31:48.195276900,46.3767428295771,89.5466457579461,19877.9657324889
16:31:48.205276600,46.3762693602689,89.545165436608,19873.7422089904
16:31:48.215277099,46.3745869496733,89.5442846274257,19874.9266470686
16:31:48.225277099,46.3761815923685,89.5440529547459,19870.1091348806
16:31:48.235276799,46.376774653257,89.5460144363165,19871.2428850481
16:31:48.245277300,46.3775779266139,89.5460304004274,19874.632579122
16:31:48.255277000,46.3767965424857,89.5455195381673,19875.7983675717
16:31:48.265276799,46.3796360772828,89.5436095065522,19869.5567159514
16:31:48.275276799,46.3765733084329,89.5453869999965,19873.1671218219
16:31:48.285277000,46.3750337100342,89.5457333267469,19873.7980920841
16:31:48.295277000,46.3760129492346,89.5447454523293,19874.0737621138
16:31:48.305276799,46.3737355639249,89.5465935010014,19875.5041589312
16:31:48.315277199,46.3751413994787,89.5466900230906,19870.0575715919
16:31:48.325277000,46.3757378868334,89.5455421858993,19874.2763427988
16:31:48.335277000,46.3742021890669,89.5435904113377,19876.4854145966
16:31:48.345276699,46.3735977193285,89.5455274681753,19872.0866440254
16:31:48.355277199,46.3768767075387,89.5443353196642,19871.6952787591
16:31:48.365276900,46.3734545999277,89.5450746080667,19872.8808538027
16:31:48.375276699,46.3772222536335,89.545754088507,19873.5817731183
16:31:48.385277199,46.3770922363149,89.5467183725791,19876.5079996377
16:31:48.395276900,46.3749252715949,89.547946681935,19876.6327505462
16:31:48.405276900,46.3734397433119,89.5447616150579,19874.9995006324
16:31:48.415276699,46.3740718789598,89.5464784506406,19875.124877017
16:31:48.425277099,46.3767074865986,89.5457340645754,19873.5832206311
16:31:48.435276900,46.3768413529889,89.5454665416875,19873.3982109619
16:31:48.445276900,46.3745379453451,89.5441664301744,19872.3254301721
16:31:48.455277099,46.3751447106007,89.545060204496,19876.8954300954
16:31:48.465277099,46.3782156311511,89.5443939107502,19874.451483983
16:31:48.475276799,46.3775094532404,89.5470668321434,19871.3272191294
16:31:48.485277300,46.3740160732492,89.544600050141,19873.8912988955
16:31:48.495277099,46.3756988987699,89.5476921016323,19880.0492420392
16:31:48.505277000,46.3758708222101,89.544408379202,19875.0883819581
16:31:48.515276799,46.377268414149,89.5450474530503,19872.3806721516
16:31:48.525277300,46.3808322020764,89.5449187047363,19876.2266564926
16:31:48.535277000,46.3740157950497,89.546842956969,19877.565446724
16:31:48.545277000,46.3776205387158,89.5441053229936,19876.8193560339
16:31:48.555277199,46.3775972200148,89.5431732454927,19876.2139762891
