x,y,z,vx,vy,vz
13.71351838537186,14.388794834988726,0.15743475336364252,1.4241857841187182e-09,0.00012257700435977528,-1.1253103113913038e-05
13.712753246162237,14.387573572944506,0.15732899651799323,-0.06386669807700428,-0.10203537501402582,0.0004902640813344877
13.707612631516957,14.38203774964905,0.15744899532759984,-0.270194933608985,-0.3090339114234745,0.003382375857427977
13.71120441805631,14.386302194137526,0.15705639087368134,-0.07217721123752652,-0.07772998463705144,-0.00407206692432484
13.711723534147914,14.387201941375908,0.15732302071414492,-0.04245776934977723,-0.03759025396052424,0.0010741583995212863
13.711147802706765,14.385417092684008,0.15749906769934371,-0.04541114713805741,-0.06482606724484308,0.004017091901253465
13.711986043446228,14.387529473288048,0.1576543434716825,-0.024401167224958192,-0.02001303742573035,0.00600890937850989
13.712760616375435,14.386830208873617,0.1577157739228954,-0.010157408318725704,-0.026984737788253776,0.006035832995418158
13.711275760204996,14.385686828323369,0.15799315805952346,-0.027181511396028667,-0.03774183653213628,0.009268254745818324
13.7090676301741,14.38385859898602,0.1580235721166626,-0.04846919134570161,-0.05369902044571076,0.008350920755125142
13.710680629117213,14.3854987058424,0.15786105429849911,-0.02762375172955606,-0.0320642831778707,0.005249230614230331
13.71158998355125,14.386899936364184,0.15804995832322485,-0.016860818384172516,-0.016439055207664477,0.0069257604467719835
13.710169545863897,14.38460506560983,0.1580538744131414,-0.027322334173184047,-0.03423454407387645,0.00615018727570105
13.713533481822301,14.388342898568851,0.15795501593302094,0.0008437652170543188,-0.002639315049623253,0.0046011677650477315
13.708299155283001,14.383137733786464,0.1578890070899251,-0.03702456607905062,-0.04004724203998026,0.003373558677880745
13.715515043799114,14.390710107176458,0.15764955996667732,0.014343242455169214,0.013939044618243981,0.0010934098342293306
13.711234732762422,14.387073616106525,0.15765245366554617,-0.013869640181094867,-0.010145245839988666,0.0009241695521919883
13.710826960334924,14.384365880780829,0.15762281028884975,-0.01549718497748495,-0.0258618239111404,0.0005771564449854837
13.710680362926254,14.385610932225195,0.15767242724770997,-0.015446412131560517,-0.017255411400410002,0.000928176907472787
13.712614428425557,14.387977043749553,0.15768464943508037,-0.004060922415332662,-0.0034170678112412332,0.0009954008057445432
13.713291133082926,14.388143943412569,0.15773555016480598,-0.00032683917361335524,-0.0023692563559566658,0.0012852732463860626
13.710328314778273,14.386079246451432,0.15772997381575316,-0.015080005782514809,-0.012545464847330004,0.0011214615819468733
13.709958227223256,14.384041417606058,0.1577219515598016,-0.01613113858247395,-0.021695762764987567,0.0009836394916064404
13.709995683274965,14.384987826163272,0.15768746950337603,-0.01521552140260574,-0.01634065223707224,0.0007297383886032281
13.707615767296867,14.38312826312909,0.15775731733228057,-0.02510295444071918,-0.02386938314417352,0.0010591841838736987
13.713918930718776,14.387346809236858,0.1576369342490355,0.0029950417190333853,-0.00475873185230145,0.00041445880356708335
13.713415844407304,14.3882299667618,0.15768489013713502,0.0007848326738256299,-0.0008979986822472983,0.0006475516958064922
13.712695434910698,14.387042065500191,0.1577128036697178,-0.002143549178616767,-0.0056380384841533205,0.000744880293148069
13.712772265452541,14.388404965988487,0.157740235096852,-0.0017592723403977873,-9.880727668611436e-05,0.0008505214999020517
13.712203288607128,14.386698044792695,0.15767462079205422,-0.0038522304933911373,-0.006571578843129177,0.0004911692695487627
13.710245649341797,14.38544653965574,0.15755125053038307,-0.010940671602578734,-0.010952145539571856,-0.00010447342191075937
13.713556212170223,14.389226154833036,0.15755019320417335,0.0013706464752218095,0.003047888155145362,-7.247743720913523e-05
13.712406145620976,14.386799639623064,0.15753455177640896,-0.0027177561313271002,-0.00558251343921296,-0.0001503735001132362
13.70768330343042,14.382899410532744,0.1575447004153591,-0.018830809362190025,-0.018774966414881956,-0.00013454491557071715
13.713577581290693,14.388975253042725,0.1574492702229623,0.0015807930663825145,0.002244092987484722,-0.00046570407263896033
13.710880159883635,14.38590694753658,0.15751717180445557,-0.007332010752255822,-0.007908754844372964,-0.00020446446014198995
13.712074063218052,14.38631376306962,0.15758041958086716,-0.0032530884118853126,-0.006344416885041951,4.527695109059589e-05
13.708397179904233,14.383257605754272,0.15768356297578956,-0.014756584854514313,-0.01579114004409904,0.0004013885154559904
13.708989924751535,14.384177649990793,0.15764883861021173,-0.01246291328614329,-0.012451398961014215,0.0002686334462514133
13.71110840786758,14.38680433154519,0.15760419965341052,-0.005635844643754226,-0.004078011185842979,0.00011672408805574202
13.712125142981648,14.387478288674464,0.15760288894779975,-0.0024250891651770236,-0.0019394301556698874,0.00011208963140612632
13.707159194097203,14.38369502458958,0.15773219329680868,-0.01697117865623137,-0.01301860348940259,0.0005163025710775579
13.710346371508074,14.385499682880132,0.15770648183640254,-0.007243343135356871,-0.007411601454010394,0.00042631768602064806
13.711193041943753,14.385614019565535,0.15768805054261414,-0.004619535191917726,-0.0068736213481667115,0.00035697419805869735
13.711137066252414,14.386047590955124,0.15771535947994603,-0.00464702210186379,-0.005460047727803409,0.00043028721579927977
13.712693205916313,14.386535298290752,0.1576580459533318,-0.00019880959802951337,-0.003954877653731193,0.0002484363246495479
13.70863794357474,14.382987369770456,0.15764405353985866,-0.011301908482050923,-0.013565325749223638,0.00019206979841084423
13.711316853462735,14.386097939988408,0.15761372301668858,-0.003750129078955838,-0.004784719250922456,0.00010511900904219262
13.713235382642663,14.387338730342476,0.15768038661687664,0.0014770403858362716,-0.0013410794736021026,0.0002923381552011873
13.71041302742612,14.38407377970692,0.1577047082080567,-0.006016969164996327,-0.009929760893179238,0.00034741077846529254
