Time [HH:MM:SS],X [m],Y [m],Z [m]
17:10:24.8124914,13.708805,14.596500,0.105782
17:10:24.8224912,13.709322,14.593450,0.105817
17:10:24.8324916,13.709737,14.590344,0.105880
17:10:24.8424914,13.710072,14.587222,0.105826
17:10:24.8524911,13.710257,14.584024,0.105904
17:10:24.8624916,13.710320,14.580737,0.105908
17:10:24.8724916,13.710243,14.577432,0.105976
17:10:24.8824914,13.710070,14.574165,0.105981
17:10:24.8924911,13.709799,14.570970,0.106026
17:10:24.9024916,13.709516,14.567870,0.106051
17:10:24.9124913,13.709270,14.564785,0.106127
17:10:24.9224913,13.709058,14.561707,0.106169
17:10:24.9324915,13.708976,14.558584,0.106250
17:10:24.9424915,13.709055,14.555471,0.106296
17:10:24.9524913,13.709347,14.552391,0.106364
17:10:24.9624910,13.709771,14.549329,0.106372
17:10:24.9724915,13.710277,14.546312,0.106412
17:10:24.9824915,13.710873,14.543312,0.106445
17:10:24.9924913,13.711427,14.540319,0.106446
17:10:25.0024917,13.711889,14.537344,0.106462
17:10:25.0124915,13.712137,14.534383,0.106506
17:10:25.0224912,13.712322,14.531352,0.106519
17:10:25.0324912,13.712351,14.528169,0.106562
17:10:25.0424917,13.712282,14.524789,0.106601
17:10:25.0524914,13.712155,14.521359,0.106626
17:10:25.0624912,13.711967,14.518017,0.106687
17:10:25.0724917,13.711813,14.514779,0.106756
17:10:25.0824914,13.711774,14.511608,0.106806
17:10:25.0924914,13.711860,14.508517,0.106865
17:10:25.1024911,13.712066,14.505445,0.106924
17:10:25.1124916,13.712435,14.502400,0.106980
17:10:25.1224914,13.712962,14.499318,0.107014
17:10:25.1324911,13.713606,14.496193,0.107055
17:10:25.1424916,13.714194,14.493080,0.107163
17:10:25.1524916,13.714710,14.489963,0.107189
17:10:25.1624913,13.715031,14.486893,0.107263
17:10:25.1724911,13.715273,14.483839,0.107252
17:10:25.1824915,13.715369,14.480756,0.107282
17:10:25.1924913,13.715281,14.477572,0.107322
17:10:25.2024913,13.715102,14.474315,0.107361
17:10:25.2124915,13.714868,14.471025,0.107391
17:10:25.2224915,13.714578,14.467774,0.107437
17:10:25.2324913,13.714325,14.464591,0.107518
17:10:25.2424910,13.714241,14.461456,0.107585
17:10:25.2524915,13.714343,14.458320,0.107652
17:10:25.2624915,13.714609,14.455185,0.107717
17:10:25.2724912,13.715053,14.452067,0.107747
17:10:25.2824917,13.715670,14.448946,0.107791
17:10:25.2924914,13.716400,14.445797,0.107816
17:10:25.3024912,13.717108,14.442670,0.107865
17:10:25.3124912,13.717774,14.439538,0.107961
17:10:25.3224914,13.718378,14.436339,0.107975
17:10:25.3324914,13.718887,14.433082,0.108000
17:10:25.3424912,13.719227,14.429736,0.108059
17:10:25.3524916,13.719343,14.426378,0.108123
17:10:25.3624916,13.719191,14.423159,0.108176
17:10:25.3724914,13.718850,14.420135,0.108225
17:10:25.3824911,13.718444,14.417368,0.108260
17:10:25.3924916,13.718020,14.414777,0.108286
17:10:25.4024913,13.717614,14.412243,0.108391
17:10:25.4124911,13.717444,14.409656,0.108406
17:10:25.4224916,13.717474,14.406777,0.108500
17:10:25.4324915,13.717602,14.403632,0.108527
17:10:25.4424913,13.717925,14.400333,0.108555
17:10:25.4524911,13.718419,14.397001,0.108556
17:10:25.4624915,13.719097,14.393682,0.108568
17:10:25.4724915,13.719787,14.390466,0.108581
17:10:25.4824913,13.720412,14.387434,0.108655
17:10:25.4924915,13.720887,14.384531,0.108688
17:10:25.5024915,13.721275,14.381676,0.108685
17:10:25.5124912,13.721490,14.378728,0.108736
17:10:25.5224912,13.721551,14.375552,0.108789
17:10:25.5324915,13.721542,14.372148,0.108847
17:10:25.5424914,13.721467,14.368598,0.108842
17:10:25.5524912,13.721249,14.365073,0.108915
17:10:25.5624917,13.720938,14.361637,0.108965
17:10:25.5724914,13.720587,14.358330,0.108992
17:10:25.5824914,13.720256,14.355175,0.109062
17:10:25.5924912,13.720015,14.352070,0.109105
17:10:25.6024914,13.719864,14.348943,0.109168
17:10:25.6124914,13.719924,14.345782,0.109221
17:10:25.6224911,13.720166,14.342595,0.109237
17:10:25.6324916,13.720556,14.339411,0.109263
17:10:25.6424913,13.721111,14.336182,0.109306
17:10:25.6524913,13.721805,14.332795,0.109318
17:10:25.6624918,13.722537,14.329223,0.109285
17:10:25.6724916,13.723144,14.325302,0.109384
17:10:25.6824913,13.723692,14.321128,0.109433
17:10:25.6924913,13.724126,14.316824,0.109531
17:10:25.7024915,13.724434,14.312609,0.109557
17:10:25.7124915,13.724569,14.308561,0.109630
17:10:25.7224913,13.724594,14.304669,0.109680
17:10:25.7324917,13.724522,14.300775,0.109721
17:10:25.7424915,13.724316,14.296714,0.109782
17:10:25.7524912,13.724082,14.292320,0.109861
17:10:25.7624912,13.723898,14.287653,0.110049
17:10:25.7724917,13.723700,14.283003,0.110005
17:10:25.7824915,13.723620,14.278321,0.110090
17:10:25.7924912,13.723627,14.273569,0.110086
17:10:25.8024917,13.723878,14.268716,0.110195
17:10:25.8124914,13.724213,14.263803,0.110225
17:10:25.8224914,13.724615,14.258918,0.110319
17:10:25.8324912,13.725184,14.254107,0.110399
17:10:25.8424916,13.725976,14.249371,0.110471
17:10:25.8524914,13.726910,14.244724,0.110540
17:10:25.8624914,13.727856,14.240146,0.110528
17:10:25.8724916,13.728845,14.235673,0.110770
17:10:25.8824916,13.729787,14.231146,0.110650
17:10:25.8924913,13.730558,14.226653,0.110733
17:10:25.9024911,13.731264,14.222113,0.110728
17:10:25.9124916,13.731921,14.217447,0.110842
17:10:25.9224913,13.732586,14.212681,0.110898
17:10:25.9324913,13.733236,14.207902,0.110971
17:10:25.9424918,13.734005,14.203202,0.111083
17:10:25.9524915,13.734888,14.198645,0.111158
17:10:25.9624913,13.735929,14.194281,0.111301
17:10:25.9724913,13.737105,14.189998,0.111350
17:10:25.9824915,13.738394,14.185772,0.111457
17:10:25.9924915,13.739821,14.181535,0.111519
17:10:26.0024912,13.741479,14.177310,0.111516
17:10:26.0124917,13.743285,14.173063,0.111598
17:10:26.0224915,13.745173,14.168785,0.111642
17:10:26.0324912,13.747086,14.164485,0.111730
17:10:26.0424912,13.749145,14.160344,0.111779
17:10:26.0524917,13.751178,14.156389,0.111775
17:10:26.0624914,13.753178,14.152460,0.111857
17:10:26.0724912,13.755176,14.148464,0.111899
17:10:26.0824916,13.757240,14.144392,0.111969
17:10:26.0924914,13.759296,14.140230,0.112044
17:10:26.1024914,13.761357,14.135945,0.112100
17:10:26.1124911,13.763484,14.131607,0.112143
17:10:26.1224916,13.765626,14.127236,0.112205
17:10:26.1324914,13.767771,14.122803,0.112296
17:10:26.1424911,13.769909,14.118383,0.112434
17:10:26.1524918,13.772125,14.114131,0.112444
17:10:26.1624916,13.774274,14.110214,0.112529
17:10:26.1724913,13.776412,14.106603,0.112596
17:10:26.1824913,13.778730,14.103177,0.112665
17:10:26.1924915,13.781237,14.099780,0.112694
17:10:26.2024913,13.783997,14.096327,0.112741
17:10:26.2124913,13.786963,14.092865,0.112682
17:10:26.2224917,13.790069,14.089389,0.112695
17:10:26.2324915,13.793318,14.085897,0.112684
17:10:26.2424913,13.796552,14.082271,0.112675
17:10:26.2524912,13.799809,14.078542,0.112733
17:10:26.2624917,13.803034,14.074852,0.112766
17:10:26.2724915,13.806208,14.071325,0.112781
17:10:26.2824912,13.809291,14.068003,0.112812
17:10:26.2924917,13.812234,14.064811,0.112847
17:10:26.3024914,13.815207,14.061601,0.112888
17:10:26.3124914,13.818210,14.058358,0.112936
17:10:26.3224912,13.821312,14.055098,0.112926
17:10:26.3324916,13.824502,14.051877,0.112903
17:10:26.3424914,13.827770,14.048555,0.112954
17:10:26.3524911,13.831104,14.045122,0.112989
17:10:26.3624916,13.834586,14.041690,0.113027
17:10:26.3724916,13.838149,14.038404,0.113066
17:10:26.3824914,13.841790,14.035319,0.113120
17:10:26.3924911,13.845422,14.032528,0.113172
17:10:26.4024916,13.849021,14.029946,0.113170
17:10:26.4124913,13.852622,14.027543,0.113236
17:10:26.4224913,13.856211,14.025208,0.113226
17:10:26.4324918,13.859931,14.022861,0.113235
17:10:26.4424915,13.863699,14.020423,0.113253
17:10:26.4524913,13.867593,14.017877,0.113266
17:10:26.4624910,13.871670,14.015262,0.113279
17:10:26.4724915,13.875773,14.012653,0.113279
17:10:26.4824915,13.879789,14.010073,0.113345
17:10:26.4924913,13.883704,14.007630,0.113392
17:10:26.5024917,13.887502,14.005421,0.113446
17:10:26.5124915,13.891297,14.003307,0.113486
17:10:26.5224912,13.895170,14.001287,0.113520
17:10:26.5324912,13.899159,13.999291,0.113581
17:10:26.5424917,13.903228,13.997365,0.113512
17:10:26.5524914,13.907410,13.995433,0.113593
17:10:26.5624912,13.911671,13.993444,0.113622
17:10:26.5724917,13.915993,13.991379,0.113693
17:10:26.5824914,13.920326,13.989370,0.113724
17:10:26.5924914,13.924610,13.987589,0.113747
17:10:26.6024911,13.928814,13.985879,0.113761
17:10:26.6124916,13.932951,13.984230,0.113803
17:10:26.6224914,13.937200,13.982616,0.113799
17:10:26.6324911,13.941547,13.981133,0.113822
17:10:26.6424916,13.946000,13.979772,0.113867
17:10:26.6524916,13.950492,13.978489,0.113769
17:10:26.6624913,13.955062,13.977235,0.113849
17:10:26.6724911,13.959701,13.975990,0.113818
17:10:26.6824915,13.964278,13.974707,0.113917
17:10:26.6924913,13.968827,13.973355,0.113840
17:10:26.7024913,13.973216,13.971978,0.113930
17:10:26.7124918,13.977585,13.970723,0.113935
17:10:26.7224915,13.981911,13.969710,0.113957
17:10:26.7324913,13.986320,13.968835,0.113931
17:10:26.7424910,13.990733,13.968075,0.113945
17:10:26.7524917,13.995228,13.967431,0.113965
17:10:26.7624915,13.999758,13.966933,0.113847
17:10:26.7724912,14.004361,13.966486,0.113874
17:10:26.7824917,14.009024,13.966060,0.113843
17:10:26.7924914,14.013722,13.965574,0.113826
17:10:26.8024912,14.018405,13.965069,0.113853
17:10:26.8124912,14.023079,13.964601,0.113853
17:10:26.8224917,14.027709,13.964181,0.113881
17:10:26.8324914,14.032307,13.963836,0.113905
17:10:26.8424912,14.036880,13.963510,0.113891
17:10:26.8524916,14.041418,13.963336,0.113912
17:10:26.8624916,14.045909,13.963403,0.113851
17:10:26.8724914,14.050491,13.963614,0.113759
17:10:26.8824911,14.055080,13.963832,0.113727
17:10:26.8924916,14.059802,13.964053,0.113708
17:10:26.9024913,14.064632,13.964341,0.113655
17:10:26.9124911,14.069481,13.964699,0.113648
17:10:26.9224918,14.074295,13.965126,0.113648
17:10:26.9324915,14.078992,13.965665,0.113663
17:10:26.9424913,14.083592,13.966298,0.113651
17:10:26.9524911,14.088077,13.966966,0.113626
17:10:26.9624915,14.092453,13.967657,0.113580
17:10:26.9724915,14.096892,13.968412,0.113597
17:10:26.9824913,14.101367,13.969154,0.113498
17:10:26.9924917,14.105892,13.969928,0.113490
17:10:27.0024915,14.110591,13.970797,0.113462
17:10:27.0124912,14.115329,13.971746,0.113414
17:10:27.0224912,14.120047,13.972766,0.113448
