Time [HH:MM:SS],X [m],Y [m],Z [m]
16:31:47.8552767,13.711352,14.386299,0.157708
16:31:47.8652772,13.711352,14.386300,0.157708
16:31:47.8752769,13.711354,14.386301,0.157705
16:31:47.8852767,13.711356,14.386301,0.157701
16:31:47.8952771,13.711355,14.386300,0.157701
16:31:47.9052771,13.711355,14.386300,0.157703
16:31:47.9152769,13.711353,14.386299,0.157705
16:31:47.9252766,13.711352,14.386299,0.157707
16:31:47.9352771,13.711353,14.386300,0.157707
16:31:47.9452771,13.711354,14.386300,0.157705
16:31:47.9552769,13.711354,14.386302,0.157705
16:31:47.9652771,13.711354,14.386301,0.157705
16:31:47.9752771,13.711354,14.386301,0.157705
16:31:47.9852768,13.711354,14.386302,0.157704
16:31:47.9952766,13.711354,14.386301,0.157703
16:31:48.0052770,13.711353,14.386299,0.157704
16:31:48.0152770,13.711352,14.386300,0.157706
16:31:48.0252768,13.711352,14.386300,0.157707
16:31:48.0352773,13.711352,14.386301,0.157708
16:31:48.0452770,13.711353,14.386301,0.157706
16:31:48.0552770,13.711353,14.386301,0.157705
16:31:48.0652767,13.711353,14.386301,0.157704
16:31:48.0752770,13.711354,14.386301,0.157703
16:31:48.0852770,13.711353,14.386301,0.157704
16:31:48.0952767,13.711352,14.386299,0.157706
16:31:48.1052772,13.711351,14.386298,0.157707
16:31:48.1152772,13.711352,14.386299,0.157707
16:31:48.1252769,13.711354,14.386300,0.157705
16:31:48.1352767,13.711354,14.386300,0.157704
16:31:48.1452771,13.711353,14.386300,0.157705
16:31:48.1552769,13.711354,14.386300,0.157704
16:31:48.1652769,13.711354,14.386300,0.157704
16:31:48.1752771,13.711354,14.386299,0.157703
16:31:48.1852771,13.711353,14.386298,0.157704
16:31:48.1952769,13.711352,14.386298,0.157706
16:31:48.2052766,13.711352,14.386298,0.157706
16:31:48.2152771,13.711352,14.386298,0.157705
16:31:48.2252771,13.711352,14.386301,0.157706
16:31:48.2352768,13.711351,14.386300,0.157706
16:31:48.2452773,13.711352,14.386300,0.157704
16:31:48.2552770,13.711353,14.386299,0.157702
